Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AO	KO16DK	1817	OZ6TY	599	599	JO55XE	CW	144	660	660	JO55	ScoredNoLog	
YL2AO	KO16DK	1818	LY3JE	59	59	KO26TC	SSB	144	210	210			
YL2AO	KO16DK	1819	OZ7UV	57	56	JO65DH		432	636	636		ScoredNoLog	
YL2AO	KO16DK	1820	ES8PW	56	57	KO18VM		144	249	249	KO18	ScoredNoLog	
YL2AO	KO16DK	1821	R1AO	57	56	KP40TG		144	604	604	KP40	ScoredNoLog	
YL2AO	KO16DK	1827	OH4LA	57	55	KP20LG		144	454	454	KP20	ScoredNoLog	
YL2AO	KO16DK	1830	SM7ECM	559	559	JO65PU	CW	144	561	561	JO65	ScoredNoLog	
YL2AO	KO16DK	1831	SM6CEN	559	559	JO67AJ	CW	432	631	631	JO67	ScoredNoLog	
YL2AO	KO16DK	1832	OZ7KJ	53	53	JO46ML		144	813	813	JO46	ScoredNoLog	
YL2AO	KO16DK	1833	SM6BFE	56	59	JO68DQ		144	647	647	JO68	ScoredNoLog	
YL2AO	KO16DK	1834	SK1BL	599	599	JO97HK		144	249	249	JO97	ScoredNoLog	
YL2AO	KO16DK	1835	SM7FJE	55A	55A	JO65VU	CW	50	531	531	JO65	ScoredNoLog	
YL2AO	KO16DK	1836	ES2MC	59A	59A	KO29GG	CW	50	342	342	KO29	ScoredNoLog	
YL2AO	KO16DK	1838	SM7PYJ	54	53	JO76TE		144	412	412	JO76	ScoredNoLog	
YL2AO	KO16DK	1840	YL3ND	54	57	KO17JM		144	125	125	KO17		
YL2AO	KO16DK	1842	YL2QV	55A	55A	KO26WM	CW	50	0	0		ErrTime 7 min.	
YL2AO	KO16DK	1844	ES2MC	599	599	KO29GG	CW	144	342	342		ScoredNoLog	
YL2AO	KO16DK	1844	SM7ATL	54	55	JO86EQ		432	364	364		ScoredNoLog	
YL2AO	KO16DK	1846	LY2WR	599	599	KO24FO	CW	144	246	246		ScoredNoLog	
YL2AO	KO16DK	1847	LY2LE	55	53	KO06NA		144	86	86		ScoredNoLog	
YL2AO	KO16DK	1847	SM4HCM	57A	57A	JP70RL	CW	50	600	600	JP70	ScoredNoLog	
YL2AO	KO16DK	1848	LY2VO	599	599	KO15PX	CW	432	81	81			
YL2AO	KO16DK	1852	SM0BSO	55A	55A	JO99BG	CW	50	400	400	JO99	ScoredNoLog	
YL2AO	KO16DK	1854	LY2WR	599	599	KO24FO	CW	432	246	246		ScoredNoLog	
YL2AO	KO16DK	1855	LA8AV	55A	32A	JO49RT	CW	50	840	840	JO49	ScoredNoLog	
YL2AO	KO16DK	1903	EI3KD	19	11	IO51VW		144	2029	2029	IO51	ScoredNoLog	
YL2AO	KO16DK	1905	OH4LA	559	599	KP20LG	CW	432	454	454	KP20	ScoredNoLog	
YL2AO	KO16DK	1906	GI6ATZ	17	06	IO74AJ		144	1785	1785	IO74	ScoredNoLog	
YL2AO	KO16DK	1906	SM5DWF	53	53	JO88HE		50	392	392	JO88	ScoredNoLog	
YL2AO	KO16DK	1907	OZ1JVX	55	56	JO46FR		50	847	847		ScoredNoLog	
YL2AO	KO16DK	1908	LY1CR	56	56	KO15CL		432	107	107		ScoredNoLog	
YL2AO	KO16DK	1910	ES1OX/2	599	599	KO29AI	CW	432	341	341	KO29	ScoredNoLog	
YL2AO	KO16DK	1910	SA5ACR	53	54	JO88FR		50	431	431		ScoredNoLog	
YL2AO	KO16DK	1911	YL3ANT	54	57	KO36PM		144	308	308	KO36		
YL2AO	KO16DK	1912	ES4RM	57	55	KO49AL		144	479	479		ScoredNoLog	
YL2AO	KO16DK	1913	SM0JST/1	559	559	JO96BW	CW	432	261	261	JO96	ScoredNoLog	
YL2AO	KO16DK	1914	UA1AJY	54	53	KO49TW		144	580	580		ScoredNoLog	
YL2AO	KO16DK	1919	OH4MVH	52	52	KP32PG		432	708	708	KP32	ScoredNoLog	
YL2AO	KO16DK	1921	OH0AZX	55	57	KP00IF		144	432	432	KP00	ScoredNoLog	
YL2AO	KO16DK	1922	YL3ANT	55	58	KO36PM		432	308	308	KO36		
YL2AO	KO16DK	1922	SK0CT	559	559	JO99BM	CW	144	422	422	JO99	ScoredNoLog	
YL2AO	KO16DK	1925	OH2AP/60	56	55	KP20MJ		50	469	469		ScoredNoLog	
YL2AO	KO16DK	1926	OH1RI	53	55	KP10HQ		144	473	473		ScoredNoLog	
YL2AO	KO16DK	1927	OH3NE	57	56	KP11UL		144	567	567	KP11	ScoredNoLog	
YL2AO	KO16DK	1929	YL2IV	58	57	KO06LM		144	83	83			
YL2AO	KO16DK	1930	OH4GGW	53	53	KP31MO		50	636	636	KP31	ScoredNoLog	
YL2AO	KO16DK	1931	ES2MC	56	56	KO29GG		432	342	342		ScoredNoLog	
YL2AO	KO16DK	1933	DL1RWN	03	13	JO64GH		144	660	660	JO64	ScoredNoLog	
YL2AO	KO16DK	1933	OH7KIM	54	55	KP43OM		50	876	876	KP43	ScoredNoLog	
YL2AO	KO16DK	1935	SM0WW	53	53	JO99KO		432	406	406	JO99	ScoredNoLog	
YL2AO	KO16DK	1935	SM7SPG	57	57	JO66MD		144	572	572	JO66	ScoredNoLog	
YL2AO	KO16DK	1937	OH1LEG	55	55	KP10FC		50	408	408		ScoredNoLog	
YL2AO	KO16DK	1937	SM0BHN	559	559	JO89WI	CW	144	417	417		ScoredNoLog	
YL2AO	KO16DK	1939	ES0Z	56	57	KO18KT		50	267	267	KO18	ScoredNoLog	
YL2AO	KO16DK	1943	SK0QO	54	54	JO99CC		144	383	383		ScoredNoLog	
YL2AO	KO16DK	1945	SM4UEF	55	52	JP70JX		144	665	665	JP70	ScoredNoLog	
YL2AO	KO16DK	1946	SK3BG	53	54	JP82QG		144	706	706	JP82	ScoredNoLog	
YL2AO	KO16DK	1948	SA0CAN	53	53	JO99CH		50	401	401		ScoredNoLog	
YL2AO	KO16DK	1949	R6KEE	03	02	KN75QB		144	1559	1559	KN75	ScoredNoLog	
YL2AO	KO16DK	1951	SP2FRY	569	569	JO83WR	CW	432	412	412	JO83	ScoredNoLog	
YL2AO	KO16DK	1954	SM5PAO	53	53	JO89TS		50	461	461	JO89	ScoredNoLog	
YL2AO	KO16DK	1955	SK0CT	56	52	JO99BM		50	422	422		ScoredNoLog	
YL2AO	KO16DK	1956	OH0AZX	54	55	KP00IF		50	432	432	KP00	ScoredNoLog	
YL2AO	KO16DK	1957	OZ2AR	57	56	JO65BT		144	634	634		ScoredNoLog	
YL2AO	KO16DK	1958	SM7DOX	56	54	JO66LD		144	577	577		ScoredNoLog	
YL2AO	KO16DK	1959	SM7KOJ	59	56	JO66ND		144	567	567		ScoredNoLog	
YL2AO	KO16DK	2000	SM2GCQ	04	09	KP15EU		50	1048	1048	KP15	ScoredNoLog	
YL2AO	KO16DK	2002	SM7DTE	579	579	JO75CN	CW	144	512	512	JO75	ScoredNoLog	
YL2AO	KO16DK	2003	YL3GGT	11	14	KO07UL		144	122	122	KO07	ScoredNoLog	
YL2AO	KO16DK	2004	OH6P	59A	59A	KP22AN	CW	50	689	689	KP22	ScoredNoLog	
YL2AO	KO16DK	2004	OH6VV	59A	59A	KP22WG	CW	50	680	680		ScoredNoLog	
YL2AO	KO16DK	2010	SM6KTO	54	53	JO67FI		144	606	606	JO67	ScoredNoLog	
YL2AO	KO16DK	2012	YL3CW	59A	59A	KO36CM	CW	50	241	241	KO36	ScoredNoLog	
YL2AO	KO16DK	2012	SE6R	52	53	JO58RG		432	681	681		ScoredNoLog	
YL2AO	KO16DK	2018	LY2CH	599	599	KO15OV	CW	144	83	83		ScoredNoLog	
YL2AO	KO16DK	2024	SM7SPG	54	54	JO66MD		432	572	572	JO66	ScoredNoLog	
YL2AO	KO16DK	2033	YL2AJ	59	58	KO16OX		144	83	83	KO16		
YL2AO	KO16DK	2035	R1CAM	54	54	KO49TV		144	577	577		ScoredNoLog	
YL2AO	KO16DK	2046	OH2MFE	55	53	KP20JE		144	442	442		ScoredNoLog	
YL2AO	KO16DK	2047	G3YDY	26	26	JO01FQ		50	1512	1512	JO01	ScoredNoLog	
YL2AO	KO16DK	2048	RK1AS	55	55	KP40UE		144	601	601		ScoredNoLog	
