Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2R	KO15VS	1953	LY2BDA	559	559	KO24MQ	CW	144	145	145		ScoredNoLog	
LY2R	KO15VS	1955	OH2FQV	55	55	KP20JE	SSB	432	0	0		NoWWL KP20MF	
LY2R	KO15VS	1956	ES1ATE	55	55	KO29JK	SSB	432	413	413		ScoredNoLog	
LY2R	KO15VS	2001	SN1I	559	559	JO84CE	CW	144	515	515	JO84	ScoredNoLog	
LY2R	KO15VS	2001	SP8XXN	55	55	KO02LC	SSB	144	448	448	KO02	ScoredNoLog	
LY2R	KO15VS	2006	OH3TR	559	559	KP11VK	CW	432	631	631	KP11	ScoredNoLog	
LY2R	KO15VS	2008	SP2WPY	599	599	JO94FL	CW	432	369	369	JO94	ScoredNoLog	
LY2R	KO15VS	2010	ES4RM	559	559	KO49AL	CW	144	484	484	KO49	ScoredNoLog	
LY2R	KO15VS	2013	SM7DTE	559	559	JO75CN	CW	432	602	602	JO75	ScoredNoLog	
LY2R	KO15VS	2015	SK4AO/P	559	559	JP61WF	CW	144	836	836	JP61	ScoredNoLog	
LY2R	KO15VS	2016	LY1CR	599	599	KO15CL	CW	432	105	105		ScoredNoLog	
LY2R	KO15VS	2020	LY2VO	599	599	KO15PX	CW	144	39	39			
LY2R	KO15VS	2026	SM7KOJ	559	529	JO66ND	CW	144	665	665		ScoredNoLog	
LY2R	KO15VS	2028	LY1CR	599	599	KO15CL	CW	144	105	105		ScoredNoLog	
LY2R	KO15VS	2037	OH6UW	559	559	KP22WI	CW	144	742	742		ScoredNoLog	
LY2R	KO15VS	2043	YL2AJ	599	599	KO16OX	CW	144	140	140			
LY2R	KO15VS	2051	OH0AZX	55	55	KP00IF	SSB	144	528	528		ScoredNoLog	
LY2R	KO15VS	2055	SM6LYB	559	559	JO86GH	CW	144	455	455	JO86	ScoredNoLog	
LY2VO	KO15PX	1704	OH4LA	599	579	KP20LG	CW	144	488	488	KP20	ScoredNoLog	
LY2VO	KO15PX	1704	SM6VTZ	599	599	JO58UJ	CW	432	747	747	JO58	ScoredNoLog	
LY2VO	KO15PX	1705	LY2BBZ	59	59	KO16XC	FM	144	44	44	KO16	ScoredNoLog	
LY2VO	KO15PX	1705	LY2HQ	59	59	KO15OV	FM	432	11	11	KO15	ScoredNoLog	
LY2VO	KO15PX	1706	LY2CH	59	59	KO15OV	FM	144	11	11	KO15	ScoredNoLog	
LY2VO	KO15PX	1708	LY1RD	59	59	KO15QU	FM	144	15	15		ScoredNoLog	
LY2VO	KO15PX	1711	LY2CH	59	59	KO15OV	SSB	432	11	11		ScoredNoLog	
LY2VO	KO15PX	1711	LY3JE	59	59	KO26TC	SSB	144	146	146	KO26		
LY2VO	KO15PX	1712	LY3PEJ	59	59	KO15CL	SSB	432	88	88		ScoredNoLog	
LY2VO	KO15PX	1713	LY3FI	59	59	KO24PR	SSB	432	188	188	KO24	ScoredNoLog	
LY2VO	KO15PX	1714	LY2BDA	59	59	KO24MQ	SSB	432	182	182		ScoredNoLog	
LY2VO	KO15PX	1714	LY3PEJ	59	59	KO15CL	SSB	144	88	88		ScoredNoLog	
LY2VO	KO15PX	1714	LY4AA	59	59	KO14WW	SSB	432	122	122	KO14	ScoredNoLog	
LY2VO	KO15PX	1716	LY3E	59	59	KO25ES	SSB	144	72	72	KO25	ScoredNoLog	
LY2VO	KO15PX	1721	SK6EI	579	559	JO68VK	CW	432	634	634	JO68	ScoredNoLog	
LY2VO	KO15PX	1724	LY2BDA	579	559	KO24MQ	CW	144	182	182	KO24	ScoredNoLog	
LY2VO	KO15PX	1727	LY4AA	599	599	KO14WW	CW	144	122	122	KO14	ScoredNoLog	
LY2VO	KO15PX	1729	SK1BL	599	599	JO97HK	CW	144	328	328	JO97	ScoredNoLog	
LY2VO	KO15PX	1733	ES2PRM	59	55	KO29GG	SSB	144	374	374	KO29	ScoredNoLog	
LY2VO	KO15PX	1736	SM6VTZ	559	559	JO58UJ	CW	144	747	747	JO58	ScoredNoLog	
LY2VO	KO15PX	1740	OZ9GE	559	559	JO66CB	CW	432	689	689	JO66	ScoredNoLog	
LY2VO	KO15PX	1745	LY3I	599	599	KO25ER	CW	144	74	74		ScoredNoLog	
LY2VO	KO15PX	1753	SK1BL	599	569	JO97HK	CW	432	328	328	JO97	ScoredNoLog	
LY2VO	KO15PX	1756	YL2GD	599	599	KO37ML	CW	144	284	284	KO37		
LY2VO	KO15PX	1757	YL2KO	599	599	KO37RI	CW	432	297	297	KO37		
LY2VO	KO15PX	1801	LY3US	59	59	KO15QW	FM	432	7	7		ScoredNoLog	
LY2VO	KO15PX	1802	LY2BBF	599	599	KO24PR	CW	144	188	188			
LY2VO	KO15PX	1803	YL2AJ	599	599	KO16OX	CW	432	112	112	KO16		
LY2VO	KO15PX	1804	LY2R	59	59	KO15VS	SSB	432	39	39			
LY2VO	KO15PX	1804	LY2WR	59	59	KO24FO	SSB	144	170	170		ScoredNoLog	
LY2VO	KO15PX	1807	ES2PRM	59	59	KO29GG	SSB	432	374	374	KO29	ScoredNoLog	
LY2VO	KO15PX	1807	ES8AY	59	59	KO28GJ	SSB	432	280	280	KO28	ScoredNoLog	
LY2VO	KO15PX	1811	OZ6TY	559	559	JO55XE	CW	144	717	717	JO55	ScoredNoLog	
LY2VO	KO15PX	1812	ES2MC	599	599	KO29GG	CW	432	374	374		ScoredNoLog	
LY2VO	KO15PX	1816	YL2GD	599	599	KO37ML	CW	432	284	284			
LY2VO	KO15PX	1820	YL2FZ	599	599	KO37QI	CW	432	293	293			
LY2VO	KO15PX	1823	OZ2AR	599	559	JO65BT	CW	144	696	696	JO65	ScoredNoLog	
LY2VO	KO15PX	1834	LY3JE	59	59	KO26TC	SSB	432	146	146	KO26		
